show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Revenue (in Millions),description
s1940,Movie,Ek Ladki Ko Dekha Toh Aisa Laga,Shelly Chopra Dhar,"Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Abhishek Duhan, Regina Cassandra, Madhumalti Kapoor, Seema Pahwa, Brijendra Kala, Alka Badola Kaushal",India,02-Apr-19,2019,TV-14,120 min,"Comedies, Dramas, International Movies",241,"As her family seeks to marry her off and a hopeful writer pursues her, a small-town woman struggles to reveal the long-hidden truth about who she loves."
s1946,Movie,El Camino: A Breaking Bad Movie,Vince Gilligan,Aaron Paul,United States,11-Oct-19,2019,TV-MA,123 min,"Dramas, Thrillers",242,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul."
s1953,Movie,El club de los buenos infieles,,"RaÃºl FernÃ¡ndez, Fele MartÃ­nez, Juanma Cifuentes, Hovik Keuchkerian, Albert Ribalta, Jordi Vilches, AdriÃ¡n Lastra, Raquel Salvador, Marta Brucart, Betsy Turnez",Spain,19-Jul-18,2018,TV-MA,85 min,"Comedies, International Movies",277,Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat â€“ to regain lust for their wives.
s1954,Movie,El club de los insomnes,"Joseduardo Giordano, Sergio Goyri Jr.","Cassandra Ciangherotti, Leonardo Ortizgris, Alejandra Ambrosi, Alexandra De La Mora, MÃ³nica Dionne, Sergio Goyri, Fernando Becerril, Humberto Busto, Marco MÃ©ndez, Alejandra UrdiaÃ­n, Khristian Clausen, Fernando LujÃ¡n",Mexico,30-Nov-18,2018,TV-MA,82 min,"Dramas, International Movies",274,"An insomniac, an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart."
s1955,TV Show,El desconocido,,"Guillermo IvÃ¡n, CÃ©sar Manjarrez, Estrella SolÃ­s, Liliana Moreno, Marco Uriel, Mario Zaragoza, Fernando Sarfatti, JosÃ© Ãngel Bichir, Paty Blanco, PÃ­a Sanz, Scarlet Gruber, Pakey VÃ¡zquez, Ivonne Montero",,14-June-19,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",367,"Based on real events, the fictional story of Mexican drug lord El Chato's number one hitman, El Cholo."
s1956,TV Show,El DragÃ³n: Return of a Warrior,,"SebastiÃ¡n Rulli, Renata Notni, Roberto Mateos, Irina Baeva, Cassandra SÃ¡nchez Navarro, Manuel Balbi, Javier GÃ³mez, Alejandro Ãvila, SofÃ­a Castro, Juan Pablo Gil",Mexico,17-Apr-20,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",374,"To replace his grandfather as head of a cartel, a Tokyo financier returns to his home country of Mexico, where he must battle two rivals for control."
s1957,Movie,"El Especial de Alex FernÃ¡ndez, el Especial",Jan Suter,Alex FernÃ¡ndez,Mexico,13-Oct-17,2017,TV-MA,52 min,Stand-Up Comedy,293,"From a Mexico City theme park, energetic stand-up Alex FernÃ¡ndez riffs on music, cheap toys, insecurity and other fun things about growing up."
s1958,Movie,El fin de ETA,Justin Webster,,Spain,8-Apr-17,2017,TV-14,106 min,"Documentaries, International Movies",287,"This documentary chronicles the decade-long process that led to the end of the ETA, a Basque terrorist group that operated for more than 50 years."
s1964,TV Show,El seÃ±or de los Cielos,,"Rafael Amaya, Ximena Herrera, Robinson DÃ­az, RaÃºl MÃ©ndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza RodrÃ­guez","United States, Mexico, Colombia",30-Apr-20,2019,TV-MA,7 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",255,Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.
s1965,Movie,El sendero de la anaconda,Alessandro Angulo,"Wade Davis, Martin von Hildebrand",Colombia,15-Nov-19,2019,TV-14,74 min,"Documentaries, International Movies",451,"In the most remote areas of the Amazon jungle, a writer and his anthropologist friend meet communities who have resisted change for centuries."
s1966,Movie,El silencio es bienvenido,Gabriela GarcÃ­a Rivas,"Eileen YÃ¡Ã±ez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,20-Mar-20,2017,TV-14,95 min,"Dramas, Independent Movies, International Movies",218,"As a teen languishes during a spiritless road trip, she learns of the troubles in her parents' marriage as a crisis in her country looms."
s1970,Movie,El-Khawaga's Dilemma,Peter Mimi,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",Egypt,15-Oct-20,2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies",429,"After a car crash, sparks fly for a financially struggling man and the daughter of a business tycoon, unraveling dark secrets and loose ends."
s1973,Movie,Elephants Dream 4 Hour,Bassam Kurdali,"Cas Jansen, Tygo Gernandt",Netherlands,23-Aug-18,2006,TV-MA,196 min,"International Movies, Sci-Fi & Fantasy",392,"Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short."
s1976,Movie,Elf Pets: Santaâ€™s Reindeer Rescue,Chanda Bell,"Brad Hyland, Drew Barber, Ashley Roberts, Lowrey Brown, Kristyl Tift, Manny Mahen, Olivia Berkeley, Eleanor Rocha",United States,01-Nov-20,2020,TV-Y,27 min,Children & Family Movies,160,"Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic."
s1982,TV Show,Ellen DeGeneres: Relatable,"Joel Gallen, Tig Notaro",Ellen DeGeneres,United States,18-Dec-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",349,"In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt â€“ and hilarious â€“ lessons she's learned along the way."
s1986,Movie,Elliot the Littlest Reindeer,Jennifer Westcott,"Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese",Canada,01-Nov-20,2018,PG,90 min,Children & Family Movies,201,"When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts."
s1989,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Malaika Arora, Aashish Chaudhary, Neha Uberoi, Urmila Matondkar, Manoj Joshi, Daya Shanker Pandey, Pushkar Jog, Kulbhushan Kharbanda",India,15-May-19,2008,TV-14,128 min,"Comedies, Dramas, International Movies",155,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
s1990,Movie,Emicida: AmarElo - Itâ€™s All For Yesterday,,Emicida,Brazil,08-Dec-20,2020,TV-MA,90 min,"Documentaries, International Movies, Music & Musicals",492,"Between scenes from his concert in SÃ£o Paulo's Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture."
s1992,TV Show,Emily's Wonder Lab,,"Emily Callandrelli, Sky Alexis, Kennedi Butler, Arya Darbahani, Christopher Farrar, Alex Jayne Go, Jayden Langarcia, Makenzie Lee-Foster, Tenz McCall, Zaela Rae, Mason Wells",United States,25-August-20,2020,TV-Y,1 Season,Kids' TV,305,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think â€” and blow your mind!"
s1999,TV Show,Encerrados,,"Luis MachÃ­n, Maria Merlino, FabiÃ¡n Vena, Ana Chalentano, Nelly Prince, Victor Laplace, Silvia PÃ©rez, Pilar Gamboa, Alberto Ajaka, Fabio Alberti, Martin Slipak, MartÃ­n Piroyansky, Paula Ransenberg",,18-Jun-18,2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",315,"This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
s2002,Movie,End Game,"Rob Epstein, Jeffrey Friedman",,United States,04-May-18,2018,TV-PG,40 min,Documentaries,150,"Facing an inevitable outcome, terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death."
s2003,Movie,End of Watch,David Ayer,"Jake Gyllenhaal, Michael PeÃ±a, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,23-Nov-19,2012,R,109 min,Action & Adventure,392,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence."
s2007,Movie,English Babu Desi Mem,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre, Rajeshwari, Saeed Jaffrey, Kiran Kumar, Baba Brahmbhatt, Ishita Haria, Sunny Singh, Gulshan Bawra",India,1-May-17,1996,TV-14,163 min,"Comedies, Dramas, International Movies",251,"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him."
s2011,TV Show,Entangled,,"Thomas Ong, Jack Tan, Margaret Wang, Kate Pang, Huang Qi Ming, Aileen Tan, Rayson Tan, Zhang Shui Fa",South Korea,1-Aug-17,2014,TV-14,1 Season,"International TV Shows, TV Dramas",176,"When the children of two families become friends, they begin to unravel a horrific crime in the past that already linked their fathers to each other."
s2014,Movie,Enter the Dragon,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer","Hong Kong, United States",1-Jan-21,1973,R,103 min,"Action & Adventure, Classic Movies",432,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord."
